Elapsed time;Config--load
15:39:57,0;2.0
15:40:02,500;3.0
15:40:04,0;3.0
15:40:07,0;4.0
15:40:09,500;4.0
15:40:10,500;5.0
15:40:12,0;5.0
15:40:14,0;5.0
15:40:16,0;6.0
15:40:17,0;6.0
15:40:17,500;6.0
15:40:19,0;6.0
15:40:21,0;7.0
15:40:22,500;7.0
15:40:23,0;7.0
15:40:24,0;7.0
15:40:24,500;7.0
15:40:26,0;8.0
15:40:27,0;8.0
15:40:27,500;8.0
15:40:29,0;8.0
15:40:29,500;8.0
15:40:30,500;9.0
15:40:31,0;9.0
15:40:32,0;9.0
15:40:32,500;9.0
15:40:34,0;9.0
15:40:34,500;9.0
15:40:36,0;10.0
15:40:36,500;10.0
15:40:37,0;10.0
15:40:37,500;10.0
15:40:38,0;10.0
15:40:39,0;10.0
15:40:39,500;10.0
15:40:40,500;11.0
15:40:41,0;11.0
15:40:42,0;11.0
15:40:42,500;11.0
15:40:43,0;11.0
15:40:44,0;11.0
15:40:44,500;11.0
15:40:45,500;12.0
15:40:46,500;12.0
15:40:47,0;12.0
15:40:47,500;12.0
15:40:48,0;12.0
15:40:49,0;12.0
15:40:49,500;12.0
15:40:50,0;12.0
15:40:50,500;13.0
15:40:51,500;13.0
15:40:52,0;13.0
15:40:52,500;13.0
15:40:53,0;13.0
15:40:54,0;13.0
15:40:55,0;13.0
15:40:55,500;14.0
15:40:56,0;14.0
15:40:56,500;14.0
15:40:57,0;14.0
15:40:57,500;14.0
15:40:58,0;14.0
15:40:58,500;14.0
15:40:59,0;14.0
15:41:00,0;14.0
15:41:01,0;15.0
15:41:01,500;15.0
15:41:02,0;15.0
15:41:02,500;15.0
15:41:03,0;15.0
15:41:03,500;15.0
15:41:04,0;15.0
15:41:05,0;15.0
15:41:05,500;16.0
15:41:06,0;16.0
15:41:06,500;16.0
15:41:07,0;16.0
15:41:07,500;16.0
15:41:08,500;16.0
15:41:09,0;16.0
15:41:09,500;16.0
15:41:10,500;17.0
15:41:11,0;17.0
15:41:11,500;17.0
15:41:12,0;17.0
15:41:12,500;17.0
15:41:13,500;17.0
15:41:14,0;17.0
15:41:14,500;17.0
15:41:15,0;17.0
15:41:15,500;18.0
15:41:16,0;18.0
15:41:16,500;18.0
15:41:17,0;18.0
15:41:17,500;18.0
15:41:18,500;18.0
15:41:19,0;18.0
15:41:19,500;18.0
15:41:20,0;18.0
15:41:20,500;19.0
15:41:21,0;19.0
15:41:22,0;19.0
15:41:22,500;19.0
15:41:23,500;19.0
15:41:24,0;19.0
15:41:24,500;19.0
15:41:25,500;19.666666666666668
15:41:26,0;20.0
15:41:26,500;20.0
15:41:27,0;20.0
15:41:27,500;20.0
15:41:28,0;20.0
15:41:28,500;20.0
15:41:29,0;20.0
15:41:29,500;20.0
15:41:30,0;20.0
15:41:30,500;21.0
15:41:31,0;21.0
15:41:31,500;21.0
15:41:32,0;21.0
15:41:32,500;21.0
15:41:33,0;21.0
15:41:34,0;21.0
15:41:34,500;21.0
15:41:35,0;21.0
15:41:35,500;22.0
15:41:36,0;22.0
15:41:36,500;22.0
15:41:37,0;22.0
15:41:37,500;22.0
15:41:38,0;22.0
15:41:39,0;22.0
15:41:39,500;22.0
15:41:40,0;22.0
15:41:40,500;23.0
15:41:41,0;23.0
15:41:41,500;23.0
15:41:42,0;23.0
15:41:42,500;23.0
15:41:43,0;23.0
15:41:43,500;23.0
15:41:44,0;23.0
15:41:44,500;23.0
15:41:45,0;23.0
15:41:45,500;24.0
15:41:46,0;24.0
15:41:46,500;24.0
15:41:47,0;24.0
15:41:47,500;24.0
15:41:48,500;24.0
15:41:49,0;24.0
15:41:49,500;24.0
15:41:50,0;24.0
15:41:50,500;25.0
15:41:51,0;25.0
15:41:51,500;25.0
15:41:52,0;25.0
15:41:52,500;25.0
15:41:53,0;25.0
15:41:53,500;25.0
15:41:54,0;25.0
15:41:54,500;25.0
15:41:55,0;25.0
15:41:56,0;26.0
15:41:56,500;26.0
15:41:57,0;26.0
15:41:57,500;26.0
15:41:58,0;26.0
15:41:58,500;26.0
15:41:59,0;26.0
15:41:59,500;26.0
15:42:00,0;26.0
15:42:00,500;27.0
15:42:01,0;27.0
15:42:01,500;27.0
15:42:02,0;27.0
15:42:02,500;27.0
15:42:03,500;27.0
15:42:04,0;27.0
15:42:04,500;27.0
15:42:05,0;27.0
15:42:05,500;28.0
15:42:06,0;28.0
15:42:06,500;28.0
