Elapsed time;Request
15:39:57,0;848.0
15:40:02,500;1185.0
15:40:04,0;834.0
15:40:07,0;878.0
15:40:09,500;799.0
15:40:10,500;744.0
15:40:12,0;899.0
15:40:14,0;819.0
15:40:16,0;820.0
15:40:17,0;833.0
15:40:17,500;752.0
15:40:19,0;783.0
15:40:21,0;753.0
15:40:22,500;1067.0
15:40:23,0;750.0
15:40:24,0;759.0
15:40:24,500;756.0
15:40:26,0;855.0
15:40:27,0;852.0
15:40:27,500;790.0
15:40:29,0;753.0
15:40:29,500;759.0
15:40:30,500;754.0
15:40:31,0;747.0
15:40:32,0;805.0
15:40:32,500;774.0
15:40:34,0;746.0
15:40:34,500;819.0
15:40:36,0;756.0
15:40:36,500;761.0
15:40:37,0;797.0
15:40:37,500;764.0
15:40:38,0;785.0
15:40:39,0;751.0
15:40:39,500;875.0
15:40:40,500;749.0
15:40:41,0;823.0
15:40:42,0;794.0
15:40:42,500;775.0
15:40:43,0;756.0
15:40:44,0;778.5
15:40:44,500;831.0
15:40:45,500;754.0
15:40:46,500;788.0
15:40:47,0;800.0
15:40:47,500;762.0
15:40:48,0;813.0
15:40:49,0;756.0
15:40:49,500;763.0
15:40:50,0;796.0
15:40:50,500;763.0
15:40:51,500;917.0
15:40:52,0;850.0
15:40:52,500;756.0
15:40:53,0;752.0
15:40:54,0;857.5
15:40:55,0;770.0
15:40:55,500;784.0
15:40:56,0;767.0
15:40:56,500;754.0
15:40:57,0;812.0
15:40:57,500;754.0
15:40:58,0;758.0
15:40:58,500;867.0
15:40:59,0;755.0
15:41:00,0;763.0
15:41:01,0;756.0
15:41:01,500;759.0
15:41:02,0;816.0
15:41:02,500;773.0
15:41:03,0;765.0
15:41:03,500;869.0
15:41:04,0;803.0
15:41:05,0;751.0
15:41:05,500;770.0
15:41:06,0;771.0
15:41:06,500;757.0
15:41:07,0;799.0
15:41:07,500;755.0
15:41:08,500;804.0
15:41:09,0;756.5
15:41:09,500;752.0
15:41:10,500;761.0
15:41:11,0;803.0
15:41:11,500;758.0
15:41:12,0;776.0
15:41:12,500;773.5
15:41:13,500;838.0
15:41:14,0;759.0
15:41:14,500;780.5
15:41:15,0;756.0
15:41:15,500;850.0
15:41:16,0;760.0
15:41:16,500;760.0
15:41:17,0;795.5
15:41:17,500;774.5
15:41:18,500;818.0
15:41:19,0;776.0
15:41:19,500;763.0
15:41:20,0;802.0
15:41:20,500;761.0
15:41:21,0;760.5
15:41:22,0;789.5
15:41:22,500;782.5
15:41:23,500;876.0
15:41:24,0;789.0
15:41:24,500;766.5
15:41:25,500;786.3333333333334
15:41:26,0;763.0
15:41:26,500;772.0
15:41:27,0;786.0
15:41:27,500;761.0
15:41:28,0;816.0
15:41:28,500;765.0
15:41:29,0;760.0
15:41:29,500;808.5
15:41:30,0;769.0
15:41:30,500;795.5
15:41:31,0;834.0
15:41:31,500;767.0
15:41:32,0;779.6666666666666
15:41:32,500;786.0
15:41:33,0;809.5
15:41:34,0;770.0
15:41:34,500;775.0
15:41:35,0;765.0
15:41:35,500;763.0
15:41:36,0;780.0
15:41:36,500;762.0
15:41:37,0;808.0
15:41:37,500;765.0
15:41:38,0;828.5
15:41:39,0;782.0
15:41:39,500;790.0
15:41:40,0;768.0
15:41:40,500;792.0
15:41:41,0;766.0
15:41:41,500;765.5
15:41:42,0;784.5
15:41:42,500;765.0
15:41:43,0;808.5
15:41:43,500;771.0
15:41:44,0;765.5
15:41:44,500;765.0
15:41:45,0;793.5
15:41:45,500;772.6666666666666
15:41:46,0;774.0
15:41:46,500;777.5
15:41:47,0;806.0
15:41:47,500;774.6666666666666
15:41:48,500;804.5
15:41:49,0;768.0
15:41:49,500;765.0
15:41:50,0;766.0
15:41:50,500;769.5
15:41:51,0;767.0
15:41:51,500;764.5
15:41:52,0;809.0
15:41:52,500;771.6666666666666
15:41:53,0;809.5
15:41:53,500;766.0
15:41:54,0;764.6666666666666
15:41:54,500;770.0
15:41:55,0;768.0
15:41:56,0;841.3333333333334
15:41:56,500;771.0
15:41:57,0;830.0
15:41:57,500;774.0
15:41:58,0;774.5
15:41:58,500;813.5
15:41:59,0;778.3333333333334
15:41:59,500;815.0
15:42:00,0;779.5
15:42:00,500;771.0
15:42:01,0;890.5
15:42:01,500;771.0
15:42:02,0;787.3333333333334
15:42:02,500;787.5
15:42:03,500;812.5
15:42:04,0;772.3333333333334
15:42:04,500;803.5
15:42:05,0;779.0
15:42:05,500;777.0
15:42:06,0;769.0
15:42:06,500;801.0
15:42:07,0;785.3333333333334
15:42:07,500;768.0
15:42:08,0;827.6666666666666
15:42:08,500;772.5
15:42:09,0;768.0
15:42:09,500;801.6666666666666
15:42:10,0;773.0
15:42:10,500;779.0
15:42:11,0;773.0
15:42:11,500;776.0
15:42:12,0;772.0
15:42:12,500;1024.3333333333333
15:42:13,0;826.0
15:42:13,500;774.0
15:42:14,0;865.0
15:42:14,500;863.0
15:42:15,0;773.5
15:42:15,500;774.0
15:42:16,0;776.5
15:42:16,500;771.0
15:42:17,0;791.3333333333334
15:42:17,500;780.5
15:42:18,0;821.0
15:42:18,500;796.0
15:42:19,0;811.0
15:42:19,500;821.0
15:42:20,0;776.0
15:42:20,500;783.0
15:42:21,0;787.0
15:42:21,500;809.0
15:42:22,0;860.0
15:42:22,500;772.0
15:42:23,0;798.3333333333334
15:42:23,500;790.0
15:42:24,0;785.0
15:42:24,500;798.6666666666666
15:42:25,0;786.0
15:42:25,500;775.0
15:42:26,0;782.6666666666666
15:42:26,500;776.3333333333334
15:42:27,0;796.0
15:42:27,500;777.0
15:42:28,0;773.0
15:42:28,500;800.6666666666666
15:42:29,0;814.25
15:42:29,500;779.0
15:42:30,0;775.5
15:42:30,500;777.6666666666666
15:42:31,0;782.0
15:42:31,500;778.0
15:42:32,0;789.0
15:42:32,500;778.0
15:42:33,0;781.6
15:42:33,500;816.5
15:42:34,0;783.5
15:42:34,500;805.3333333333334
15:42:35,0;781.0
15:42:35,500;778.0
15:42:36,0;783.5
15:42:36,500;781.6666666666666
15:42:37,0;818.0
15:42:37,500;778.3333333333334
15:42:38,0;792.0
15:42:38,500;779.0
15:42:39,0;815.0
15:42:39,500;789.0
15:42:40,0;792.6666666666666
15:42:40,500;788.0
15:42:41,0;783.5
15:42:41,500;777.0
15:42:42,0;797.0
15:42:42,500;796.6666666666666
15:42:43,0;790.0
15:42:43,500;812.3333333333334
15:42:44,0;815.6666666666666
15:42:44,500;794.5
15:42:45,0;779.5
15:42:45,500;779.6666666666666
15:42:46,0;791.0
15:42:46,500;783.5
15:42:47,0;793.5
15:42:47,500;862.5
15:42:48,0;812.3333333333334
15:42:48,500;783.0
15:42:49,0;782.3333333333334
15:42:49,500;808.5
15:42:50,0;781.0
15:42:50,500;782.0
15:42:51,0;782.3333333333334
15:42:51,500;785.3333333333334
15:42:52,0;826.0
15:42:52,500;778.0
15:42:53,0;781.3333333333334
15:42:53,500;815.75
15:42:54,0;788.0
15:42:54,500;804.75
15:42:55,0;788.0
15:42:55,500;781.0
15:42:56,0;786.0
15:42:56,500;793.3333333333334
15:42:57,0;804.25
15:42:57,500;798.0
15:42:58,0;786.5
15:42:58,500;811.3333333333334
15:42:59,0;787.3333333333334
15:42:59,500;808.5
15:43:00,0;814.0
15:43:00,500;820.2
15:43:01,0;802.0
15:43:01,500;785.5
15:43:02,0;797.6666666666666
15:43:02,500;789.6666666666666
15:43:03,0;789.6666666666666
15:43:03,500;825.0
15:43:04,0;788.3333333333334
15:43:04,500;822.5
15:43:05,0;801.5
15:43:05,500;789.0
15:43:06,0;820.0
15:43:06,500;787.0
15:43:07,0;813.5
15:43:07,500;801.6
15:43:08,0;789.5
15:43:08,500;829.6666666666666
15:43:09,0;792.0
15:43:09,500;832.5
15:43:10,0;793.0
15:43:10,500;820.6666666666666
15:43:11,0;892.5
15:43:11,500;793.6666666666666
15:43:12,0;849.5
15:43:12,500;790.3333333333334
15:43:13,0;802.0
15:43:13,500;837.0
15:43:14,0;843.25
15:43:14,500;842.5
15:43:15,0;797.75
15:43:15,500;812.0
15:43:16,0;856.8
15:43:16,500;793.6666666666666
15:43:17,0;823.5
15:43:17,500;790.75
15:43:18,0;792.6666666666666
15:43:18,500;862.0
15:43:19,0;807.3333333333334
15:43:19,500;842.25
15:43:20,0;803.0
15:43:20,500;822.6666666666666
15:43:21,0;814.6
15:43:21,500;804.6666666666666
15:43:22,0;819.25
15:43:22,500;804.5
15:43:23,0;791.6666666666666
15:43:23,500;857.5
15:43:24,0;811.5
15:43:24,500;831.75
15:43:25,0;831.0
15:43:25,500;844.5
15:43:26,0;807.0
15:43:26,500;816.0
15:43:27,0;834.0
15:43:27,500;925.6666666666666
15:43:28,0;820.5
15:43:28,500;837.6666666666666
15:43:29,0;800.3333333333334
15:43:29,500;789.0
15:43:30,0;849.0
