Elapsed time;Bytes Received per Second;Bytes Sent per Second
15:39:57,0;231.0;94.0
15:40:02,0;231.0;94.0
15:40:04,0;231.0;94.0
15:40:07,0;231.0;94.0
15:40:09,0;231.0;94.0
15:40:10,0;231.0;94.0
15:40:12,0;231.0;94.0
15:40:14,0;231.0;94.0
15:40:16,0;231.0;94.0
15:40:17,0;462.0;188.0
15:40:19,0;231.0;94.0
15:40:21,0;231.0;94.0
15:40:22,0;231.0;94.0
15:40:23,0;231.0;94.0
15:40:24,0;462.0;188.0
15:40:26,0;231.0;94.0
15:40:27,0;462.0;188.0
15:40:29,0;462.0;188.0
15:40:30,0;231.0;94.0
15:40:31,0;231.0;94.0
15:40:32,0;462.0;188.0
15:40:34,0;462.0;188.0
15:40:36,0;462.0;188.0
15:40:37,0;462.0;188.0
15:40:38,0;231.0;94.0
15:40:39,0;462.0;188.0
15:40:40,0;231.0;94.0
15:40:41,0;231.0;94.0
15:40:42,0;462.0;188.0
15:40:43,0;231.0;94.0
15:40:44,0;693.0;282.0
15:40:45,0;231.0;94.0
15:40:46,0;231.0;94.0
15:40:47,0;462.0;188.0
15:40:48,0;231.0;94.0
15:40:49,0;462.0;188.0
15:40:50,0;462.0;188.0
15:40:51,0;462.0;188.0
15:40:52,0;462.0;188.0
15:40:53,0;231.0;94.0
15:40:54,0;462.0;188.0
15:40:55,0;462.0;188.0
15:40:56,0;462.0;188.0
15:40:57,0;462.0;188.0
15:40:58,0;462.0;188.0
15:40:59,0;462.0;188.0
15:41:00,0;231.0;94.0
15:41:01,0;693.0;282.0
15:41:02,0;462.0;188.0
15:41:03,0;462.0;188.0
15:41:04,0;462.0;188.0
15:41:05,0;693.0;282.0
15:41:06,0;462.0;188.0
15:41:07,0;693.0;282.0
15:41:08,0;231.0;94.0
15:41:09,0;693.0;282.0
15:41:10,0;231.0;94.0
15:41:11,0;693.0;282.0
15:41:12,0;924.0;376.0
15:41:13,0;231.0;94.0
15:41:14,0;693.0;282.0
15:41:15,0;462.0;188.0
15:41:16,0;462.0;188.0
15:41:17,0;924.0;376.0
15:41:18,0;462.0;188.0
15:41:19,0;693.0;282.0
15:41:20,0;462.0;188.0
15:41:21,0;462.0;188.0
15:41:22,0;924.0;376.0
15:41:23,0;231.0;94.0
15:41:24,0;924.0;376.0
15:41:25,0;693.0;282.0
15:41:26,0;462.0;188.0
15:41:27,0;693.0;282.0
15:41:28,0;693.0;282.0
15:41:29,0;693.0;282.0
15:41:30,0;693.0;282.0
15:41:31,0;462.0;188.0
15:41:32,0;924.0;376.0
15:41:33,0;462.0;188.0
15:41:34,0;924.0;376.0
15:41:35,0;693.0;282.0
15:41:36,0;462.0;188.0
15:41:37,0;924.0;376.0
15:41:38,0;462.0;188.0
15:41:39,0;1155.0;470.0
15:41:40,0;693.0;282.0
15:41:41,0;693.0;282.0
15:41:42,0;693.0;282.0
15:41:43,0;693.0;282.0
15:41:44,0;693.0;282.0
15:41:45,0;1155.0;470.0
15:41:46,0;693.0;282.0
15:41:47,0;924.0;376.0
15:41:48,0;462.0;188.0
15:41:49,0;924.0;376.0
15:41:50,0;693.0;282.0
15:41:51,0;924.0;376.0
15:41:52,0;924.0;376.0
15:41:53,0;693.0;282.0
15:41:54,0;924.0;376.0
15:41:55,0;462.0;188.0
15:41:56,0;1155.0;470.0
15:41:57,0;693.0;282.0
15:41:58,0;924.0;376.0
15:41:59,0;1155.0;470.0
15:42:00,0;693.0;282.0
15:42:01,0;693.0;282.0
15:42:02,0;1386.0;564.0
15:42:03,0;462.0;188.0
15:42:04,0;1155.0;470.0
15:42:05,0;693.0;282.0
15:42:06,0;924.0;376.0
15:42:07,0;924.0;376.0
15:42:08,0;1155.0;470.0
15:42:09,0;924.0;376.0
15:42:10,0;693.0;282.0
15:42:11,0;924.0;376.0
15:42:12,0;924.0;376.0
15:42:13,0;1155.0;470.0
15:42:14,0;924.0;376.0
15:42:15,0;1155.0;470.0
15:42:16,0;693.0;282.0
15:42:17,0;1155.0;470.0
15:42:18,0;693.0;282.0
15:42:19,0;1617.0;658.0
15:42:20,0;693.0;282.0
15:42:21,0;924.0;376.0
15:42:22,0;1155.0;470.0
15:42:23,0;924.0;376.0
15:42:24,0;1155.0;470.0
15:42:25,0;693.0;282.0
15:42:26,0;1386.0;564.0
15:42:27,0;1155.0;470.0
15:42:28,0;924.0;376.0
15:42:29,0;1155.0;470.0
15:42:30,0;1155.0;470.0
15:42:31,0;693.0;282.0
15:42:32,0;924.0;376.0
15:42:33,0;1617.0;658.0
15:42:34,0;1155.0;470.0
15:42:35,0;693.0;282.0
15:42:36,0;1617.0;658.0
15:42:37,0;924.0;376.0
15:42:38,0;1155.0;470.0
15:42:39,0;1155.0;470.0
15:42:40,0;1386.0;564.0
15:42:41,0;693.0;282.0
15:42:42,0;1617.0;658.0
15:42:43,0;924.0;376.0
15:42:44,0;1155.0;470.0
15:42:45,0;1155.0;470.0
15:42:46,0;1155.0;470.0
15:42:47,0;1386.0;564.0
15:42:48,0;924.0;376.0
15:42:49,0;1617.0;658.0
15:42:50,0;924.0;376.0
15:42:51,0;1386.0;564.0
15:42:52,0;924.0;376.0
15:42:53,0;1617.0;658.0
15:42:54,0;1386.0;564.0
15:42:55,0;924.0;376.0
15:42:56,0;1155.0;470.0
15:42:57,0;1386.0;564.0
15:42:58,0;1155.0;470.0
15:42:59,0;1155.0;470.0
15:43:00,0;1848.0;752.0
15:43:01,0;924.0;376.0
15:43:02,0;1386.0;564.0
15:43:03,0;1155.0;470.0
15:43:04,0;1617.0;658.0
15:43:05,0;924.0;376.0
15:43:06,0;924.0;376.0
15:43:07,0;2079.0;846.0
15:43:08,0;1155.0;470.0
15:43:09,0;1386.0;564.0
15:43:10,0;1386.0;564.0
15:43:11,0;1155.0;470.0
