Elapsed time;Config-2
15:32:56,0;7.0
15:32:57,500;8.0
15:32:58,500;9.0
15:32:59,0;10.0
15:33:00,0;10.0
15:33:01,0;10.0
15:33:02,0;10.0
15:33:03,0;10.0
15:33:04,0;10.0
15:33:05,0;10.0
15:33:06,0;10.0
15:33:07,0;10.0
15:33:08,0;10.0
15:33:09,0;10.0
15:33:09,500;10.0
15:33:10,0;10.0
15:33:11,0;10.0
15:33:12,0;10.0
15:33:12,500;10.0
15:33:14,0;10.0
15:33:15,0;10.0
15:33:16,0;10.0
15:33:16,500;10.0
15:33:17,500;10.0
15:33:18,500;10.0
15:33:19,500;10.0
15:33:21,0;10.0
15:33:21,500;10.0
15:33:22,500;10.0
15:33:23,500;10.0
15:33:24,500;10.0
15:33:25,500;10.0
15:33:26,0;10.0
15:33:27,500;10.0
15:33:28,500;10.0
15:33:29,500;10.0
15:33:30,0;10.0
15:33:31,0;10.0
15:33:31,500;10.0
15:33:32,0;10.0
15:33:33,0;10.0
15:33:34,500;10.0
15:33:35,0;10.0
15:33:36,0;10.0
15:33:37,0;10.0
15:33:38,0;10.0
15:33:39,0;10.0
15:33:40,0;10.0
15:33:41,0;10.0
15:33:42,0;10.0
15:33:43,0;10.0
15:33:43,500;10.0
15:33:44,0;10.0
15:33:45,0;10.0
15:33:46,0;10.0
15:33:46,500;10.0
15:33:48,0;10.0
15:33:48,500;10.0
15:33:49,500;10.0
15:33:50,500;10.0
15:33:51,500;10.0
15:33:52,500;10.0
15:33:53,500;10.0
15:33:54,500;10.0
15:33:55,500;10.0
15:33:56,500;10.0
15:33:57,0;10.0
15:33:57,500;10.0
15:33:58,500;10.0
15:33:59,500;10.0
15:34:00,0;10.0
15:34:01,500;10.0
15:34:02,500;10.0
15:34:03,0;10.0
15:34:04,0;10.0
15:34:05,500;10.0
15:34:06,0;10.0
15:34:07,0;10.0
15:34:08,500;10.0
15:34:09,0;10.0
15:34:10,0;10.0
15:34:11,0;10.0
15:34:12,0;10.0
15:34:13,0;10.0
15:34:13,500;10.0
15:34:15,0;10.0
15:34:16,0;10.0
15:34:17,0;10.0
15:34:17,500;10.0
15:34:19,0;10.0
15:34:19,500;10.0
15:34:20,0;10.0
15:34:20,500;10.0
15:34:22,0;10.0
15:34:23,0;10.0
15:34:23,500;10.0
15:34:24,500;10.0
15:34:25,500;10.0
15:34:26,500;10.0
15:34:27,500;10.0
15:34:29,0;10.0
15:34:29,500;10.0
15:34:30,500;10.0
15:34:31,0;10.0
15:34:32,500;10.0
15:34:33,500;10.0
15:34:34,0;10.0
15:34:35,500;10.0
15:34:36,500;10.0
15:34:37,500;10.0
15:34:38,0;10.0
15:34:39,500;10.0
15:34:40,0;10.0
15:34:41,0;10.0
15:34:42,500;10.0
15:34:43,0;10.0
15:34:44,0;10.0
15:34:45,0;10.0
15:34:46,0;10.0
15:34:47,0;10.0
15:34:47,500;10.0
15:34:49,0;10.0
15:34:50,0;10.0
15:34:51,0;10.0
15:34:51,500;10.0
15:34:53,0;10.0
15:34:53,500;10.0
15:34:54,500;10.0
15:34:56,0;10.0
15:34:57,0;10.0
15:34:57,500;10.0
15:34:58,500;10.0
15:34:59,500;10.0
15:35:00,500;10.0
15:35:01,500;10.0
15:35:03,0;10.0
15:35:03,500;10.0
15:35:04,500;10.0
15:35:05,0;10.0
15:35:05,500;10.0
15:35:06,500;9.0
15:35:07,500;7.5
15:35:08,0;7.0
15:35:09,500;6.0
15:35:10,500;5.0
15:35:11,500;4.0
15:35:12,0;3.0
15:35:13,500;2.0
15:35:14,0;1.0
