Elapsed time;Request
15:32:56,0;777.0
15:32:57,500;866.0
15:32:58,500;862.0
15:32:59,0;773.0
15:33:00,0;777.0
15:33:01,0;778.0
15:33:02,0;796.0
15:33:03,0;783.5
15:33:04,0;774.5
15:33:05,0;775.5
15:33:06,0;739.0
15:33:07,0;805.0
15:33:08,0;769.0
15:33:09,0;788.0
15:33:09,500;760.0
15:33:10,0;751.0
15:33:11,0;766.5
15:33:12,0;767.0
15:33:12,500;771.0
15:33:14,0;799.0
15:33:15,0;858.0
15:33:16,0;751.0
15:33:16,500;767.5
15:33:17,500;788.0
15:33:18,500;791.0
15:33:19,500;756.0
15:33:21,0;1031.0
15:33:21,500;762.0
15:33:22,500;788.0
15:33:23,500;757.0
15:33:24,500;798.0
15:33:25,500;750.5
15:33:26,0;771.0
15:33:27,500;776.0
15:33:28,500;773.0
15:33:29,500;772.0
15:33:30,0;785.0
15:33:31,0;768.0
15:33:31,500;776.0
15:33:32,0;753.5
15:33:33,0;755.0
15:33:34,500;784.0
15:33:35,0;820.0
15:33:36,0;753.0
15:33:37,0;755.5
15:33:38,0;865.0
15:33:39,0;824.0
15:33:40,0;751.0
15:33:41,0;778.0
15:33:42,0;752.0
15:33:43,0;755.0
15:33:43,500;752.0
15:33:44,0;753.0
15:33:45,0;752.0
15:33:46,0;751.0
15:33:46,500;772.0
15:33:48,0;761.0
15:33:48,500;785.0
15:33:49,500;751.0
15:33:50,500;749.0
15:33:51,500;787.0
15:33:52,500;780.5
15:33:53,500;817.0
15:33:54,500;772.0
15:33:55,500;817.0
15:33:56,500;747.0
15:33:57,0;890.0
15:33:57,500;759.0
15:33:58,500;794.0
15:33:59,500;787.5
15:34:00,0;805.0
15:34:01,500;834.0
15:34:02,500;830.0
15:34:03,0;887.0
15:34:04,0;811.0
15:34:05,500;798.5
15:34:06,0;838.0
15:34:07,0;763.0
15:34:08,500;759.0
15:34:09,0;797.0
15:34:10,0;749.0
15:34:11,0;757.5
15:34:12,0;754.0
15:34:13,0;752.5
15:34:13,500;788.0
15:34:15,0;762.0
15:34:16,0;807.0
15:34:17,0;762.0
15:34:17,500;770.5
15:34:19,0;828.5
15:34:19,500;797.0
15:34:20,0;796.0
15:34:20,500;766.0
15:34:22,0;853.0
15:34:23,0;763.0
15:34:23,500;793.0
15:34:24,500;749.0
15:34:25,500;816.5
15:34:26,500;766.0
15:34:27,500;774.0
15:34:29,0;817.0
15:34:29,500;794.0
15:34:30,500;1008.0
15:34:31,0;829.0
15:34:32,500;823.0
15:34:33,500;765.5
15:34:34,0;822.0
15:34:35,500;813.0
15:34:36,500;824.0
15:34:37,500;764.0
15:34:38,0;823.0
15:34:39,500;817.5
15:34:40,0;834.5
15:34:41,0;814.0
15:34:42,500;822.0
15:34:43,0;758.0
15:34:44,0;750.0
15:34:45,0;758.0
15:34:46,0;762.0
15:34:47,0;754.0
15:34:47,500;750.0
15:34:49,0;765.0
15:34:50,0;881.0
15:34:51,0;748.0
15:34:51,500;747.0
15:34:53,0;771.5
15:34:53,500;778.5
15:34:54,500;793.0
15:34:56,0;781.0
15:34:57,0;749.0
15:34:57,500;791.0
15:34:58,500;950.5
15:34:59,500;816.0
15:35:00,500;809.5
15:35:01,500;834.0
15:35:03,0;840.0
15:35:03,500;827.0
15:35:04,500;869.0
15:35:05,0;845.0
15:35:05,500;754.0
15:35:06,500;823.5
15:35:07,500;825.0
15:35:08,0;806.0
15:35:09,500;802.0
15:35:10,500;787.0
15:35:11,500;753.0
15:35:12,0;794.0
15:35:13,500;821.0
15:35:14,0;864.0
