Elapsed time;Request (success)
15:35:57,0;1.0
15:35:58,0;1.0
15:35:59,0;1.0
15:36:00,0;1.0
15:36:01,0;1.0
15:36:02,0;1.0
15:36:03,0;2.0
15:36:04,0;2.0
15:36:05,0;2.0
15:36:06,0;1.0
15:36:07,0;2.0
15:36:09,0;2.0
15:36:10,0;2.0
15:36:11,0;2.0
15:36:12,0;2.0
15:36:13,0;1.0
15:36:14,0;1.0
15:36:15,0;1.0
15:36:16,0;2.0
15:36:17,0;2.0
15:36:18,0;2.0
15:36:19,0;2.0
15:36:20,0;1.0
15:36:21,0;1.0
15:36:22,0;1.0
15:36:23,0;2.0
15:36:24,0;2.0
15:36:25,0;2.0
15:36:26,0;1.0
15:36:27,0;1.0
15:36:28,0;2.0
15:36:29,0;1.0
15:36:30,0;2.0
15:36:31,0;2.0
15:36:32,0;2.0
15:36:33,0;1.0
15:36:34,0;1.0
15:36:35,0;1.0
15:36:36,0;3.0
15:36:37,0;2.0
15:36:38,0;1.0
15:36:39,0;2.0
15:36:41,0;2.0
15:36:42,0;2.0
15:36:43,0;2.0
15:36:44,0;2.0
15:36:45,0;1.0
15:36:46,0;1.0
15:36:47,0;1.0
15:36:48,0;2.0
15:36:49,0;2.0
15:36:50,0;2.0
15:36:51,0;2.0
15:36:52,0;1.0
15:36:54,0;2.0
15:36:55,0;2.0
15:36:56,0;2.0
15:36:57,0;2.0
15:36:58,0;1.0
15:36:59,0;1.0
15:37:00,0;1.0
15:37:01,0;1.0
15:37:02,0;3.0
15:37:03,0;2.0
15:37:04,0;2.0
15:37:05,0;1.0
15:37:07,0;2.0
15:37:08,0;3.0
15:37:09,0;1.0
15:37:10,0;2.0
15:37:11,0;1.0
15:37:12,0;1.0
15:37:13,0;2.0
15:37:14,0;2.0
15:37:15,0;2.0
15:37:16,0;1.0
15:37:17,0;2.0
15:37:18,0;1.0
15:37:19,0;1.0
15:37:20,0;1.0
15:37:21,0;3.0
15:37:22,0;2.0
15:37:23,0;2.0
15:37:24,0;1.0
15:37:26,0;2.0
15:37:27,0;2.0
15:37:28,0;2.0
15:37:29,0;2.0
15:37:30,0;1.0
15:37:31,0;1.0
15:37:32,0;2.0
15:37:33,0;2.0
15:37:34,0;2.0
15:37:35,0;1.0
15:37:36,0;2.0
15:37:37,0;1.0
15:37:39,0;2.0
15:37:40,0;3.0
15:37:41,0;1.0
15:37:42,0;2.0
15:37:43,0;1.0
15:37:44,0;1.0
15:37:45,0;2.0
15:37:46,0;2.0
15:37:47,0;2.0
15:37:48,0;2.0
15:37:49,0;1.0
15:37:50,0;1.0
15:37:52,0;2.0
15:37:53,0;3.0
15:37:54,0;1.0
15:37:55,0;2.0
15:37:56,0;2.0
15:37:58,0;2.0
15:37:59,0;2.0
15:38:00,0;2.0
15:38:01,0;2.0
15:38:02,0;1.0
15:38:03,0;1.0
15:38:04,0;2.0
15:38:05,0;1.0
15:38:06,0;1.0
15:38:07,0;1.0
